city,streetaddr,name,country,review_comments,scrapday,post_date,review_title,postcode,reviewer,score,reviewer_origin
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"Me and my hubby just got married here last Sunday. It was such an amazing experience, everyone here was professional and caring - me and my guests had a really great time. We went home feeling satisfied with the food - both vegetarian and non-vegetarian banquet meals. I was also very happy with the floral decoration in the ballroom!",2016/10/08 13:11:40,2016-10-06,"Most memorable, beautiful wedding experience here in their Grand Ballroom",59200,Wendy O,5,Kuala Lumpur
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"Stayed there for 3 days while attending a meeting in the same complex. The check in was smooth and professional. Room, a one-bedroom apartment, was really nice. The bedroom was huge, with 2 wardrobes, so that 2 people could each have their own wardrobe. The bed was really comfortable, and there was even a couch in the bedroom. Bathroom was spacious too, with the toilet separate from the shower and bath - a nice touch which I always like.The living room had couch and 2 armchairs and long coffee table. A writing desk was in the corner. Huge TV. Kitchenette fully equipped, with counter and bar stool.It was perfect. Made it home away from home for me.Sure some of the wood surfaces showed some wearing, but that is to be expected - at least it's real wood, that's why it wears, not plastic.",2016/10/08 13:11:40,2016-10-06,Great Apartment Hotel,59200,ReginaldSLin,5,"Singapore, Singapore"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,This is a good hotel/residences to stay in if you have a business visit to the Petaling Jaya area...there is a large mall and supermarket right within the same premises so finding food and local fare is a breeze. Accommodation price is also reasonable for the location.,2016/10/08 13:11:40,2016-10-02,Good location within mall,59200,842emilyh,4,
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"We stayed overnight for an event nearby the hotel. Check in process was smooth and breezy, the lobby is huge. Concierge guy being helpful with our luggage. Love the room, decent size for the price. And they have rain shower along with bath tub! We ordered in-room dining at 11.30pm, the girl over the phone said the food will be ready in 40 mnts. But surprisingly it came knocking on our door after 15 mnts! The nasi goreng kampung was delicious but mee goreng mamak is a turn down. We had our breakfast pretty late (10.15am) and they already started packing stuff and not refilling the drinks and some food already finished. Nevertheless, the spread was amazing, delicious and great. I love the people at the egg counter and roti canai counter. Very attentive and helpful. Will absolutely stay here again some other time",2016/10/08 13:11:40,2016-09-28,A great staycation,59200,shuffyzz,5,"Putrajaya, Malaysia"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"Was staying in this hotel from 20 Sept to 23 September and got room 916. Was in KL on business and discussion so most of the time we were based at the lobby bar near the hotel reception. It was a convenient location to meet and the atmosphere is conducive for the discussion that we were having. Staff was attentive but severe shortage of manpower. There was only one service staff on duty and he was handling everything. I love the room especially the bathroom. This is the first time I encountered a rain shower,a bath tub and a hand shower in one bath room. The bath room layout was great, it segregated the toilet from the shower. There is a toilet room and a shower room and you have draw out drawers for hair dryer and to put towels. Bath room accessories are elegant and really user friendly. It a really well thought out and designed for the traveller toilet especially for the female traveller. Well the hotel have link bridge is connected to the garden mall and the garden mall has link bridges on the basement, 2nd and 3rd floor to megamall. A lot of restaurants on the basement level and you have 2 anchor tenants Aeon and metro with many other shops on all the 4 levels. The sports equipment and accessories shops are all located on the highest level and you even has a cinema with 21 screens! Couldnt ask for more. Too bad we only has time after work to explore the area. We didn't even need to venture out during the 2.5 days that we were there. Great place to stay, shop and relax By the way the gym is huge, too bad I don't have time to use it.",2016/10/08 13:11:40,2016-09-24,Comfortable stay with great personal touch,59200,Sailortraveller,4,"Singapore, Singapore"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"The hotel is modern, clean and well appointed. Excellent WiFi and breakfast included with the room. The hotel is connected to a huge Shopping mall which is attached to a second mall. Both have lots of restaurant options including familiar western chains if you are an adventuresome diner. Most important, it's a short cab ride to the train to the airport and a quick walk through the mall to the office building housing the company I was visiting. Couldn't ask for a better hotel. I'll be back.",2016/10/08 13:11:41,2016-09-23,Perfect Location,59200,Japruzze,4,
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"Very close to Mega shopping mall. If the reason of your stay/trip is to do shopping then stay in this hotel. The hotel is just beside the Mid-Valley Mega mole and the gardens. The gardens is a luxury famous brands style mall and Mid-valley is moderately priced but its not a cheap kind of mall. with a lot of food choices. on the downside, The air pollution, smell of fried food and car exhaust from the mall restaurants and surrounding crowded streets. You don't want to open the balcony of the room.This surrounding smell may ruin your swim in the outdoor pool.",2016/10/08 13:11:41,2016-09-20,This is the place for shopping,59200,Addool,4,"Riyadh, Saudi Arabia"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"I attended a conference at this hotel and was very impressed by the hall, the staff, the spacious lobby to the hall and the buffet lunch facilities. Excellent venue for meetings. Would love to stay and try the rooms next time!",2016/10/08 13:11:41,2016-09-18,Charming n Banqueting Facilities,59200,Anser A,5,"Singapore, Singapore"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,Hotel was good... Thanks to Mr. Mana-Duty Manager and their reception team...Ms Tracy & Ms. Weanna... All of you was superb..Our room has been upgrade by them...Big room..Modern deco... Nice sleepBreakfast buffet average,2016/10/08 13:11:41,2016-09-17,SUPERB,59200,Fariz77,5,"Sydney, Australia"
Kuala Lumpur,Lingkaran Syed Putra,The Gardens Hotel & Residences,Malaysia,"Rooms are spacious, clean, well maintained and of a decent size. Beds are comfortable and offer good support without being overly hard. Bathrooms are also larger than average and well equipped. While the above alone is an attractive proposition already, the service is even better. Staff are friendly, attentive and proactive. They always strive to make your stay a memorable one. The Gardens and Midvalley malls next to the hotel are also an added plus.",2016/10/08 13:11:41,2016-09-14,Great rooms with even better service,59200,Malcolm L,5,
